Step    -1: 10001 ms
Step    -1: 10001 ms
Step    -1: 10000 ms
Step    -1:  1899 ms
Step    -1:    47 ms
Step    -1:   867 ms
Step    -1:    49 ms
Step    -1:   874 ms
Step    -1:   137 ms
Step    -1:   770 ms
Step    -1: 31,20/0 ? | 31,22/0 ? | 32,23/0 se| 31,24/0 n | 31,28/0 ? | 32,29/0 ? |   253 ms
Step    15: 24,16/9 sk| 35,26/* sk| 30,20/4 sk| 31,17/2 nw| 27,14/0 ne| 29,37/1 sw| 32,35/1 s | 27,36/8 ne| 37,34/* se| 26,40/8 sw|  3396 ms
Step    16: 24,16/* sk| 35,26/* sk| 30,20/5 sk| 31,17/3 nw| 27,14/1 ne| 28,38/0 sw| 32,35/2 s | 28,35/0 w | 38,35/0 se| 26,40/9 se|    10 ms
Step    16: 24,16/* sk| 35,26/* sk| 30,20/6 sk| 32,16/0 sw| 27,14/2 nw| 28,38/1 sw| 32,35/3 s | 28,35/1 w | 38,35/1 se| 26,40/* se|  3477 ms
Step    17: 24,16/* sk| 35,26/* sk| 30,20/7 sk| 32,16/1 sw| 28,13/0 nw| 27,39/0 sk| 32,36/0 sw| 28,34/0 sw| 39,36/0 s | 27,41/0 sw|     1 ms
Step    18: 24,16/* sk| 35,26/* sk| 30,20/8 sk| 31,17/0 nw| 27,12/0 nw| 27,39/1 sk| 31,37/0 sw| 27,35/0 sw| 39,37/0 se| 27,41/1 sw|  3634 ms
Step    18: 24,16/* sk| 35,26/* sk| 30,20/9 sk| 31,17/1 nw| 27,12/1 nw| 27,39/2 sk| 31,37/1 sw| 27,35/1 sw| 39,37/1 se| 26,42/0 s |     2 ms
Step    18: 24,16/* sk| 35,26/* sk| 30,20/* sk| 30,16/0 nw| 27,12/2 nw| 27,39/3 sk| 30,38/0 sw| 27,35/2 sw| 39,37/2 se| 26,42/1 s |  3513 ms
Step    19: 24,16/* sk| 35,26/* sk| 30,20/* sk| 30,16/1 nw| 26,11/0 nw| 27,39/4 sk| 30,38/1 sw| 26,36/0 sw| 40,38/0 se| 26,43/0 se|    98 ms
Step    19: 24,16/* sk| 35,26/* sk| 30,20/* sk| 29,15/0 n | 26,11/1 nw| 27,39/5 sk| 30,38/2 sw| 26,36/1 w | 40,38/1 se| 26,43/1 se|  3446 ms
Step    20: 24,16/* sk| 35,26/* sk| 30,20/* sk| 28,14/0 n | 25,10/0 n | 27,39/6 sk| 29,39/0 sw| 25,36/0 e | 41,39/0 nw| 26,43/2 sw|  3637 ms
Step    21: 24,16/* sk| 35,26/* sk| 30,20/* sk| 28,13/0 nw| 25, 9/0 n | 27,39/7 sk| 27,41/0 sw| 25,35/0 se| 41,39/1 nw| 26,45/0 sw|  3604 ms
Step    22: 24,16/* sk| 35,26/* sk| 30,20/* sk| 28,13/1 nw| 25, 9/1 n | 27,39/8 sk| 27,41/1 sw| 25,35/1 se| 41,39/2 nw| 26,45/1 sw|   112 ms
Step    22: 24,16/* sk| 35,26/* sk| 30,20/* sk| 27,12/0 nw| 25, 8/0 ne| 27,39/9 sk| 26,42/0 sw| 26,36/0 ne| 41,39/3 nw| 26,45/2 sw|  3435 ms
Step    23: 24,16/* sk| 35,26/* sk| 30,20/* ne| 27,12/1 nw| 25, 8/1 ne| 27,39/* sk| 26,42/1 sw| 26,36/1 ne| 40,38/0 n | 25,46/0 sw|    29 ms
Step    23: 24,16/* sk| 35,26/* sk| 30,20/* ne| 27,12/2 nw| 24, 7/0 ne| 27,39/* sk| 25,43/0 sw| 27,35/0 ne| 40,37/0 n | 25,46/1 sw|  3563 ms
Step    24: 24,16/* sk| 35,26/* sk| 30,20/* ne| 26,11/0 sw| 24, 7/1 n | 27,39/* sk| 24,44/0 nw| 28,35/0 se| 40,37/1 nw| 25,46/2 sw|  3586 ms
Step    25: 24,16/* sk| 35,26/* sk| 31,19/0 se| 25,10/0 sw| 25, 6/0 nw| 27,39/* sk| 24,44/1 nw| 28,35/1 se| 39,36/0 n | 25,46/3 se|    59 ms
Step    25: 24,16/* sk| 35,26/* sk| 31,19/1 se| 25,10/1 sw| 25, 6/1 nw| 27,39/* se| 24,44/2 nw| 28,35/2 se| 39,36/1 n | 25,46/4 se|  3465 ms
Step    26: 24,16/* sk| 35,26/* sk| 31,19/2 se| 24,11/0 sw| 24, 5/0 n | 27,39/* se| 23,43/0 sw| 29,34/0 se| 39,35/0 n | 24,47/0 ne|    40 ms
Step    26: 24,16/* sk| 35,26/* sk| 31,19/3 se| 23,12/0 sw| 24, 5/1 sw| 27,39/* se| 23,43/1 sw| 29,34/1 se| 39,35/1 n | 24,47/1 ne|  3495 ms
Step    27: 24,16/* sk| 35,26/* sk| 31,19/4 se| 23,12/1 sw| 24, 5/2 sw| 28,40/0 s | 22,44/0 sw| 30,35/0 sw| 40,34/0 e | 25,48/0 ne|    33 ms
Step    27: 24,16/* sk| 35,26/* sk| 32,20/0 s | 22,13/0 se| 24, 4/0 sw| 28,40/1 s | 22,44/1 sw| 30,35/1 sw| 40,34/1 e | 25,48/1 ne|  3491 ms
